Index, Frequency
0, 656.762695
1, 559.863281
2, 613.696289
3, 635.229492
4, 602.929688
5, 592.163086
6, 592.163086
7, 549.096680
8, 581.396484
9, 559.863281
10, 581.396484
11, 613.696289
12, 592.163086
13, 570.629883
14, 549.096680
15, 549.096680
16, 592.163086
17, 592.163086
18, 624.462891
19, 635.229492
20, 678.295898
21, 742.895508
22, 775.195312
23, 839.794922
24, 872.094727
25, 904.394531
26, 925.927734
27, 947.460938
28, 958.227539
29, 990.527344
30, 1022.827148
31, 1087.426758
32, 1141.259766
33, 1238.159180
34, 1324.291992
35, 1399.658203
36, 1475.024414
37, 1539.624023
38, 1614.990234
39, 1679.589844
40, 1690.356445
41, 1679.589844
42, 1679.589844
43, 1690.356445
44, 1679.589844
45, 1690.356445
46, 1679.589844
47, 1679.589844
48, 1690.356445
49, 1679.589844
50, 1690.356445
51, 1679.589844
52, 1679.589844
